City,Country,Latitude,Longitude,Date,Max Temperature,Humidity,Wind Speed,Cloudiness
Villamontes,BO,-21.26,-63.47,1563773636,68.41,52,3.49,0
Avarua,CK,-21.21,-159.78,1563773636,77.0,88,9.17,61
Aix-les-Bains,FR,45.69,5.91,1563773608,71.01,93,1.12,40
Atuona,PF,-9.8,-139.03,1563773637,79.93,77,13.62,52
Nieves,MX,24.0,-103.02,1563773637,65.17,49,3.76,81
Vaini,TO,-21.2,-175.2,1563773638,71.6,73,17.22,20
Provideniya,RU,64.42,-173.23,1563773638,51.8,87,15.66,90
Rikitea,PF,-23.12,-134.97,1563773638,68.23,74,21.99,35
Katsuura,JP,33.93,134.5,1563773639,80.6,94,13.87,75
Husavik,IS,66.04,-17.34,1563773639,53.6,71,13.87,90
Kropotkin,RU,45.43,40.58,1563773639,70.93,68,6.06,84
Amberley,NZ,-43.15,172.73,1563773640,51.01,93,8.05,11
Lagoa,PT,37.14,-8.45,1563773640,75.2,57,5.82,0
Ponta do Sol,CV,17.2,-25.09,1563773640,75.2,83,4.7,40
Bethel,US,60.79,-161.76,1563773480,60.8,82,2.66,90
Kaeo,NZ,-35.1,173.78,1563773641,57.0,100,5.68,9
Afua,BR,-0.16,-50.39,1563773641,76.33,88,7.67,71
Axim,GH,4.87,-2.24,1563773641,75.61,91,10.83,74
Manga,BR,-14.75,-43.94,1563773642,58.69,84,2.68,38
Butaritari,KI,3.07,172.79,1563773642,84.97,69,8.46,20
Faanui,PF,-16.48,-151.75,1563773643,78.67,81,19.89,16
Nouadhibou,MR,20.93,-17.03,1563773643,68.0,82,18.34,8
Tiksi,RU,71.64,128.87,1563773643,41.41,66,11.56,37
Ust-Maya,RU,60.42,134.54,1563773644,75.43,32,8.12,0
Mar del Plata,AR,-46.43,-67.52,1563773644,33.49,67,14.94,0
Ancud,CL,-41.87,-73.83,1563773644,32.0,70,5.12,0
Ushuaia,AR,-54.81,-68.31,1563773645,33.8,74,9.17,75
Inhambane,MZ,-23.87,35.38,1563773645,61.21,59,2.84,71
Santa Maria,CV,16.6,-22.9,1563773646,75.2,83,5.82,40
Solnechnyy,RU,50.72,136.64,1563773646,73.27,70,3.94,98
Hithadhoo,MV,-0.6,73.08,1563773647,82.99,78,14.0,6
Chokurdakh,RU,70.62,147.9,1563773647,38.53,83,15.52,100
Cap Malheureux,MU,-19.98,57.61,1563773647,75.2,78,8.05,20
Balakhta,RU,55.38,91.62,1563773648,65.35,64,7.78,78
Punta Arenas,CL,-53.16,-70.91,1563773648,35.6,83,12.75,75
Ciudad Bolivar,VE,8.12,-63.55,1563773648,76.87,84,7.81,67
Barrow,US,39.51,-90.4,1563773649,78.01,94,6.93,40
Ribeira Grande,PT,38.52,-28.7,1563773649,73.27,91,26.78,67
Sitka,US,37.17,-99.65,1563773649,71.01,79,5.01,6
Mogapi,BW,-22.32,27.84,1563773650,39.2,93,5.99,0
Puerto Madero,MX,14.72,-92.42,1563773650,80.6,100,3.8,40
Bolshaya Rechka,RU,51.95,104.74,1563773651,66.2,93,4.47,75
Carnarvon,AU,-24.87,113.63,1563773651,73.4,38,14.99,0
Bolitoc,PH,15.74,119.88,1563773651,81.91,78,9.42,100
Bluff,NZ,-46.6,168.33,1563773652,50.0,93,3.0,96
Najran,SA,17.54,44.22,1563773652,87.8,15,4.7,0
Killybegs,IE,54.63,-8.45,1563773653,64.99,93,10.0,100
Busselton,AU,-33.64,115.35,1563773653,62.01,41,16.37,98
Lakes Entrance,AU,-37.88,147.99,1563773653,62.01,37,11.99,0
Lavrentiya,RU,65.58,-170.99,1563773654,52.03,71,17.72,42
Jamestown,SH,-15.94,-5.72,1563773654,67.87,78,18.48,1
Gura Teghii,RO,45.5,26.43,1563773654,81.0,64,9.17,5
Saint-Augustin,CA,45.63,-73.98,1563773655,71.01,77,5.82,40
Iquique,CL,-20.22,-70.14,1563773655,60.8,67,5.82,90
Ngaoundere,CM,7.32,13.58,1563773656,66.2,93,3.42,40
Zhezkazgan,KZ,47.8,67.71,1563773656,80.6,28,24.61,0
Roald,NO,62.58,6.12,1563773656,59.0,87,5.82,0
Saldanha,ZA,-33.01,17.94,1563773455,53.6,93,8.05,0
Hermanus,ZA,-34.42,19.24,1563773657,53.01,85,11.99,0
Bjornevatn,NO,69.67,29.98,1563773657,64.4,72,8.05,0
Turan,RU,52.15,93.92,1563773658,73.81,36,5.39,91
Dakoro,NE,14.51,6.76,1563773658,78.49,69,9.22,100
Klaksvik,FO,62.23,-6.59,1563773659,53.6,93,8.05,100
Castro,CL,-42.48,-73.76,1563773659,32.0,89,3.31,0
Kodiak,US,39.95,-94.76,1563773660,71.6,94,8.05,90
Bambous Virieux,MU,-20.34,57.76,1563773660,75.2,78,8.05,20
Edson,CA,53.59,-116.44,1563773371,62.6,67,5.82,1
Saint-Philippe,RE,-21.36,55.77,1563773661,71.6,88,10.29,100
Buala,SB,-8.15,159.59,1563773661,80.47,81,7.18,100
Saskylakh,RU,71.97,114.09,1563773662,82.99,26,13.27,5
Albany,AU,-35.02,117.88,1563773662,55.4,71,21.92,90
Staryy Nadym,RU,65.61,72.68,1563773662,75.79,42,9.78,100
Mantua,CU,22.29,-84.28,1563773663,83.89,72,8.63,0
Nong Chik,TH,6.84,101.18,1563773663,84.07,65,4.45,51
Cayenne,GF,4.94,-52.33,1563773663,73.4,100,2.68,75
Qaanaaq,GL,77.48,-69.36,1563773664,37.27,90,9.82,97
Cidreira,BR,-30.17,-50.22,1563773664,63.01,82,6.24,41
Dodola,ET,6.98,39.18,1563773665,56.89,85,6.15,99
Sioux Lookout,CA,50.1,-91.92,1563773453,62.6,63,6.93,20
Pandan,PH,11.72,122.09,1563773665,85.15,69,9.37,45
Horizonte,BR,-4.1,-38.5,1563773666,77.0,78,8.05,20
San Patricio,MX,19.22,-104.7,1563773666,75.43,91,2.93,100
Vargem Grande,BR,-23.71,-46.2,1563773666,62.6,93,8.05,0
Sao Bernardo,BR,-3.36,-42.42,1563773667,69.31,93,0.89,10
Leningradskiy,RU,69.38,178.42,1563773667,36.37,99,0.38,100
Rosetta,EG,31.4,30.42,1563773667,78.8,74,8.05,40
Hilo,US,19.71,-155.08,1563773668,80.01,74,6.93,40
Saint George,BM,32.38,-64.68,1563773668,82.99,83,11.41,40
Tshikapa,CD,-6.42,20.79,1563773669,69.49,29,1.92,0
Tual,ID,-5.67,132.75,1563773669,75.79,83,17.92,47
Denpasar,ID,-8.65,115.22,1563773622,79.75,66,10.74,90
Georgetown,SH,-7.93,-14.42,1563773670,73.09,76,19.37,84
Ngunguru,NZ,-35.62,174.5,1563773670,56.71,81,11.61,39
Puerto Ayora,EC,-0.74,-90.35,1563773670,69.01,94,16.8,35
Chase,CA,50.82,-119.69,1563773671,75.2,41,3.36,40
Saint-Felicien,CA,48.65,-72.45,1563773671,59.0,76,6.93,20
Tautira,PF,-17.73,-149.15,1563773671,77.0,69,11.41,20
Kapaa,US,22.08,-159.32,1563773672,84.2,74,16.11,40
Port Elizabeth,ZA,-33.92,25.57,1563773672,55.4,28,3.36,0
Cabo San Lucas,MX,22.89,-109.91,1563773607,81.0,74,10.29,5
Shingu,JP,33.72,135.99,1563773672,80.6,88,6.93,75
Madimba,TZ,-10.4,40.33,1563773673,69.8,73,23.04,75
Nantucket,US,41.28,-70.1,1563773673,79.0,94,9.17,20
Comodoro Rivadavia,AR,-45.87,-67.48,1563773673,37.4,59,16.11,0
Ambilobe,MG,-13.19,49.05,1563773674,82.09,57,5.14,33
Northam,AU,-31.65,116.67,1563773674,60.8,67,8.05,75
Shimanovsk,RU,52.0,127.67,1563773674,75.25,88,5.14,100
La Ronge,CA,55.1,-105.3,1563773675,59.0,87,2.24,20
Nikolskoye,RU,59.7,30.79,1563773675,80.01,59,4.47,0
Pacific Grove,US,36.62,-121.92,1563773675,63.0,82,5.82,75
Torbay,CA,47.66,-52.73,1563773676,52.0,100,17.22,90
Wanlaweyn,SO,2.62,44.89,1563773676,80.47,53,21.61,82
Broken Hill,AU,-31.97,141.45,1563773676,64.4,23,14.99,0
Dingle,IE,52.14,-10.27,1563773430,62.47,92,28.12,100
Ruteng,ID,-8.61,120.46,1563773677,79.21,64,5.39,42
Sept-Iles,CA,50.2,-66.38,1563773678,60.01,54,6.93,40
Montepuez,MZ,-13.13,39.0,1563773678,67.87,59,12.59,10
Xinyu,CN,27.8,114.93,1563773678,95.59,53,3.71,23
Arraial do Cabo,BR,-22.97,-42.02,1563773679,68.95,80,23.2,18
Hervey Bay,AU,-25.3,152.85,1563773679,73.99,46,9.17,90
Dikson,RU,73.51,80.55,1563773679,34.93,97,13.13,97
Hobart,AU,-42.88,147.33,1563773573,61.0,41,19.46,20
Balkhash,KZ,46.84,74.98,1563773680,84.2,35,11.18,40
Myaundzha,RU,63.05,147.18,1563773680,45.55,74,11.92,76
Los Llanos de Aridane,ES,28.66,-17.92,1563773681,71.6,68,14.99,90
Port Lincoln,AU,-34.72,135.86,1563773681,57.43,72,28.43,100
New Norfolk,AU,-42.78,147.06,1563773681,61.0,41,19.46,20
Gopalpur,IN,25.6,86.94,1563773682,100.09,41,6.02,78
Portland,AU,-33.35,149.98,1563773682,57.99,45,5.01,0
Renqiu,CN,38.71,116.1,1563773682,97.75,31,11.25,100
Yumen,CN,40.29,97.04,1563773683,85.69,21,12.86,74
Elko,US,40.83,-115.76,1563773404,78.8,19,3.36,1
Nome,US,30.04,-94.42,1563773683,82.99,100,5.95,1
Horta,PT,40.42,-8.49,1563773684,66.0,93,2.24,0
Ulladulla,AU,-35.36,150.48,1563773685,68.0,32,8.05,0
Tuatapere,NZ,-46.13,167.69,1563773685,50.0,93,3.0,97
Aykhal,RU,65.95,111.51,1563773685,78.8,22,4.47,0
Nizwa,OM,22.93,57.53,1563773686,91.27,35,2.71,0
Cherskiy,RU,68.75,161.3,1563773686,36.73,94,12.62,100
Bathsheba,BB,13.22,-59.52,1563773686,80.6,83,17.22,75
Nanyamba,TZ,-10.68,39.83,1563773687,69.8,73,23.04,75
Ilulissat,GL,69.22,-51.1,1563773687,44.6,81,8.48,20
Iqaluit,CA,63.75,-68.52,1563773688,39.2,93,6.93,90
Candolim,IN,15.52,73.76,1563773688,84.2,79,14.99,40
Torre-Pacheco,ES,37.74,-0.95,1563773688,78.01,69,10.29,0
Beringovskiy,RU,63.05,179.32,1563773689,48.61,86,9.24,100
Yar-Sale,RU,66.83,70.83,1563773689,68.59,61,11.43,99
Brumunddal,NO,60.89,10.94,1563773689,60.01,97,1.36,5
Dillon,US,45.22,-112.64,1563773589,62.6,51,5.82,1
Pevek,RU,69.7,170.27,1563773690,32.59,97,21.03,100
Taiyuan,CN,37.86,112.56,1563773690,77.0,83,6.71,40
Victoria,SC,-4.62,55.45,1563773691,82.4,69,8.05,20
Port Hedland,AU,-20.31,118.58,1563773691,82.4,12,13.87,0
Vao,NC,-22.67,167.48,1563773691,67.51,64,13.53,20
Alto Lucero,MX,20.95,-97.44,1563773692,75.79,95,2.42,1
Mount Gambier,AU,-37.83,140.78,1563773692,60.8,51,21.92,75
Sann,PK,26.04,68.14,1563773692,96.8,53,4.7,0
Manta,EC,-0.95,-80.73,1563773507,71.6,88,69.12,40
Teguldet,RU,57.31,88.17,1563773693,55.09,87,3.74,97
Kokkola,FI,63.84,23.13,1563773694,69.01,68,4.7,21
Marsh Harbour,BS,26.54,-77.06,1563773600,83.35,76,13.15,82
East London,ZA,-33.02,27.91,1563773694,55.4,30,8.05,0
Hasaki,JP,35.73,140.83,1563773694,73.4,94,5.82,75
Thompson,CA,55.74,-97.86,1563773695,57.2,82,11.41,75
Zurrieq,MT,35.83,14.47,1563773695,75.0,73,4.7,0
Kudahuvadhoo,MV,2.67,72.89,1563773695,82.99,78,15.01,84
Pangnirtung,CA,66.15,-65.72,1563773696,43.21,86,3.42,90
Itoman,JP,26.12,127.67,1563773696,91.4,70,11.41,75
Kitami,JP,43.8,143.9,1563773697,75.2,53,24.16,20
Halifax,CA,44.65,-63.58,1563773681,64.0,100,8.05,20
Lundazi,ZM,-12.29,33.17,1563773697,59.23,69,14.9,29
Narsaq,GL,60.91,-46.05,1563773697,44.6,81,3.36,56
Cockburn Town,TC,21.46,-71.14,1563773646,82.27,80,19.57,8
Shelbyville,US,39.41,-88.79,1563773698,75.99,83,8.57,90
Ingham,AU,-18.65,146.16,1563773699,72.55,64,5.37,58
Bredasdorp,ZA,-34.53,20.04,1563773699,42.8,75,8.05,0
Palencia,ES,42.01,-4.53,1563773699,66.99,82,5.82,0
Te Anau,NZ,-45.41,167.72,1563773700,47.53,79,6.15,96
Esperance,AU,-33.86,121.89,1563773700,55.4,82,21.92,75
General Roca,AR,-39.03,-67.58,1563773701,42.8,55,5.82,0
Povorino,RU,51.2,42.24,1563773701,75.99,45,5.01,19
Luderitz,NA,-26.65,15.16,1563773701,56.89,70,9.75,0
Berlevag,NO,70.86,29.09,1563773702,66.2,72,3.36,0
Ust-Ordynskiy,RU,52.8,104.75,1563773702,66.2,93,4.47,75
Weligama,LK,5.97,80.42,1563773703,83.35,75,19.98,100
Tasiilaq,GL,65.61,-37.64,1563773703,46.4,70,5.82,15
Lashma,RU,54.93,41.14,1563773704,64.99,66,5.3,23
Evensk,RU,61.92,159.24,1563773704,51.31,82,7.29,98
Havre-Saint-Pierre,CA,50.23,-63.6,1563773704,53.6,100,2.24,90
Asilah,MA,35.47,-6.03,1563773705,75.2,88,3.36,0
Khasan,RU,42.43,130.64,1563773705,71.29,91,3.8,98
Sibolga,ID,1.74,98.78,1563773705,82.99,69,6.73,71
Riyadh,SA,24.63,46.72,1563773628,95.0,10,6.93,0
Tuktoyaktuk,CA,69.44,-133.03,1563773706,51.8,81,6.93,90
Vanavara,RU,60.35,102.28,1563773706,76.87,31,10.38,16
Chicama,PE,-7.84,-79.15,1563773707,62.6,88,8.05,90
Gizo,SB,-8.1,156.84,1563773707,81.19,80,21.18,100
Porto Novo,CV,17.02,-25.06,1563773707,75.2,83,4.7,40
Rock Sound,BS,24.9,-76.2,1563773708,83.35,77,17.65,6
Lorengau,PG,-2.02,147.27,1563773708,83.35,73,5.06,92
Harbour Breton,CA,47.48,-55.8,1563773709,55.63,99,5.68,100
Port Shepstone,ZA,-30.74,30.45,1563773709,53.11,21,5.73,0
Grodkow,PL,50.7,17.38,1563773710,68.0,82,3.36,0
Yellowknife,CA,62.45,-114.38,1563773710,68.0,68,4.7,75
Srednekolymsk,RU,67.46,153.71,1563773710,44.11,71,12.19,99
Caramay,PH,10.18,119.24,1563773711,84.07,69,5.01,45
Linhares,BR,-19.38,-40.06,1563773711,63.91,93,2.66,67
Lebu,CL,-37.62,-73.65,1563773711,50.77,65,10.0,38
Vila Velha,BR,-3.71,-38.6,1563773712,77.0,78,8.05,20
Cabiraoan,PH,18.32,122.09,1563773712,84.25,73,4.72,56
Kulhudhuffushi,MV,6.62,73.07,1563773712,82.63,81,18.43,93
Moussoro,TD,13.64,16.49,1563773713,77.23,77,9.62,69
Norman Wells,CA,65.28,-126.83,1563773713,60.8,82,2.24,90
Turukhansk,RU,65.8,87.96,1563773714,77.95,34,10.31,60
Upernavik,GL,72.79,-56.15,1563773714,43.03,94,8.3,99
Deloraine,CA,49.18,-100.5,1563773714,60.01,80,1.1,0
Tungor,RU,53.39,142.95,1563773715,53.11,96,11.03,100
Oranjestad,AW,12.52,-70.03,1563773715,80.6,83,19.46,20
Timra,SE,62.49,17.33,1563773715,63.0,82,2.24,0
Zabaykalsk,RU,49.63,117.32,1563773716,76.69,44,14.32,11
Sao Filipe,CV,14.9,-24.5,1563773716,75.43,80,7.29,27
Venado Tuerto,AR,-33.75,-61.97,1563773551,51.01,52,8.99,100
Ardmore,US,34.17,-97.14,1563773468,82.99,57,3.36,1
Coquimbo,CL,-29.95,-71.34,1563773617,48.2,93,6.93,0
Vieux-Habitants,GP,16.06,-61.77,1563773717,77.0,83,15.14,0
Constitucion,MX,23.99,-104.67,1563773717,64.0,74,14.0,96
Mednogorsk,RU,51.41,57.59,1563773717,73.27,56,10.49,41
Flinders,AU,-34.58,150.85,1563773718,71.01,32,8.05,0
Le Mars,US,42.79,-96.17,1563773718,66.2,100,3.36,1
Eyrarbakki,IS,63.86,-21.15,1563773718,55.4,76,6.93,90
Port Alfred,ZA,-33.59,26.89,1563773719,57.99,36,8.01,0
Pisco,PE,-13.71,-76.2,1563773719,62.6,82,4.7,90
Mayo,CA,63.59,-135.9,1563773719,75.2,31,8.05,75
Chuy,UY,-33.69,-53.46,1563773720,64.81,89,11.63,86
Inirida,CO,3.87,-67.92,1563773720,71.83,97,1.41,70
Cape Town,ZA,-33.93,18.42,1563773707,55.0,87,10.29,40
Kruisfontein,ZA,-34.0,24.73,1563773721,51.67,34,12.5,0
Clyde River,CA,70.47,-68.59,1563773721,35.6,100,3.36,90
Lima,PE,-12.06,-77.04,1563773471,60.8,93,6.93,90
Ossora,RU,59.24,163.07,1563773722,60.85,49,5.93,3
Charlottetown,CA,46.23,-63.13,1563773722,61.0,100,4.7,20
Krian,ID,-7.41,112.58,1563773722,91.45,28,9.13,55
Fare,PF,-16.7,-151.02,1563773723,78.13,80,21.18,3
Akhalgori,GE,42.13,44.48,1563773723,77.0,65,23.04,0
Chalus,IR,36.66,51.42,1563773723,82.4,69,2.24,75
Geraldton,AU,-28.77,114.6,1563773724,66.2,68,11.41,40
Kaitangata,NZ,-46.28,169.85,1563773724,46.99,90,4.0,86
Kahului,US,20.89,-156.47,1563773725,82.4,61,17.22,40
Tobol,KZ,52.68,62.58,1563773725,74.17,53,13.76,0
Bilma,NE,18.69,12.92,1563773725,85.33,41,9.15,0
Hamilton,BM,32.3,-64.78,1563773726,82.99,83,11.41,40
Kavieng,PG,-2.57,150.8,1563773726,84.43,65,5.32,14
Nanortalik,GL,60.14,-45.24,1563773727,37.99,93,1.86,82
Banjar,ID,-7.37,108.54,1563773727,78.49,69,6.06,100
Dunedin,NZ,-45.87,170.5,1563773727,48.0,94,11.01,44
Nanning,CN,22.83,108.3,1563773727,89.6,70,4.47,40
Cacapava do Sul,BR,-30.51,-53.49,1563773728,59.95,95,5.17,0
Barranca,PE,-10.75,-77.76,1563773728,62.47,84,8.9,62
Nishihara,JP,35.74,139.53,1563773729,78.01,88,3.36,90
Novo Aripuana,BR,-5.12,-60.38,1563773729,73.81,74,0.67,20
Makakilo City,US,21.35,-158.09,1563773600,82.4,69,8.05,90
Watertown,US,44.9,-97.12,1563773505,62.01,100,3.36,1
San Rafael,AR,-34.61,-68.33,1563773730,45.19,50,8.81,94
Marquette,US,46.54,-87.4,1563773453,61.0,81,3.36,1
Morant Bay,JM,17.88,-76.41,1563773730,82.4,65,4.7,20
